id_ensaio,nome_arquivo,energia_media,variancia_sinal,taxa_cruzamento_zero,frequencia_pico_hz,energia_espectral_total,modo_transferencia
1,Ensaio_III_audio.wav,1992.111025799363,3968506.236326369,1416412,86.1328125,3968440.349687649,Globular
2,Ensaio_II_audio.wav,1749.449733083121,3060574.2519026627,1352960,86.1328125,3069335.3901811014,Globular
3,Ensaio_IV_audio.wav,1910.6248271477361,3650486.8947601346,1342059,86.1328125,3659006.9411691776,Globular
4,Ensaio_IX_audio.wav,1982.015029453371,3928383.464818685,1664217,86.1328125,3934177.152309151,Globular
5,Ensaio_I_audio.wav,1662.3103420223256,2763275.663886237,1451001,86.1328125,2775703.074814979,Globular
6,Ensaio_VIII_audio.wav,1982.6892517331926,3931056.6609686315,1332650,86.1328125,3939424.9781857976,Globular
7,Ensaio_VII_audio.wav,1965.3336100502077,3862536.1751306434,1367946,86.1328125,3886074.857695412,Globular
8,Ensaio_VI_audio.wav,2091.3411668686467,4373707.584045486,1307073,86.1328125,4393015.266644872,Globular
9,Ensaio_V_audio.wav,1977.6781432204953,3911210.758129174,1379491,86.1328125,3920929.2223491645,Globular
10,Ensaio_X_audio.wav,2005.5010323213276,4022034.365126759,1499034,86.1328125,4035583.5973478463,Globular
1,Ensaio_10_audio.wav,1607.9464960054975,2585491.933796343,949663,387.59765625,2588184.758563334,Spray
2,Ensaio_1_audio.wav,1170.3548055394792,1369729.1860425293,740933,516.796875,1369902.91090576,Spray
3,Ensaio_2_audio.wav,1700.5624299929066,2891912.1964632124,804184,387.59765625,2892084.7703730683,Spray
4,Ensaio_3_audio.wav,1551.9998720931599,2408703.602581532,840858,387.59765625,2410086.1851987746,Spray
5,Ensaio_4_audio.wav,1385.2174869082357,1918827.44367458,851614,430.6640625,1918689.9495229549,Spray
6,Ensaio_6_audio.wav,1503.8990225755563,2261712.269890191,989661,387.59765625,2268117.1511605396,Spray
7,Ensaio_7_audio.wav,1627.8745263461064,2649975.4580961764,927666,473.73046875,2652377.3873975906,Spray
8,Ensaio_8_audio.wav,1615.32607538716,2609278.316516804,986392,430.6640625,2614340.7007295704,Spray
9,Ensaio_9_audio.wav,1499.5880905942727,2248764.4191144067,978524,430.6640625,2250494.236304047,Spray
1,Ensaio-10_audio.wav,1618.603074348133,2619875.8951944844,641876,86.1328125,2665571.4615103262,Curto-Circuito
2,Ensaio-2_audio.wav,2508.4991678283754,6292554.036070846,647474,86.1328125,6333701.488477584,Curto-Circuito
3,Ensaio-3_audio.wav,2629.4671423703494,6914093.2439137,634956,86.1328125,6953080.300315137,Curto-Circuito
4,Ensaio-4_audio.wav,1768.2938347335048,3126862.5670128963,639721,86.1328125,3138006.7044117805,Curto-Circuito
5,Ensaio-5_audio.wav,2478.7458697782504,6144165.291991176,644198,86.1328125,6164901.961651402,Curto-Circuito
6,Ensaio-6_audio.wav,2456.725383681035,6035493.347099332,644754,86.1328125,6050507.14585133,Curto-Circuito
7,Ensaio-7_audio.wav,2582.155852382431,6667518.994032525,633889,86.1328125,6643582.725566177,Curto-Circuito
8,Ensaio-8_audio.wav,2415.9904531787065,5836998.750717911,666005,86.1328125,5809081.376409826,Curto-Circuito
9,Ensaio-9_audio.wav,1613.2741148854584,2602653.2960478496,637257,86.1328125,2642639.151266047,Curto-Circuito
